"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R37","1206_R","107.408mm","60.198mm","107.408mm","60.198mm","108.898mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R36","1206_R","91.694mm","60.198mm","91.694mm","60.198mm","93.184mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R35","1206_R","76.42mm","60.198mm","76.42mm","60.198mm","77.91mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R34","1206_R","61.18mm","60.198mm","61.18mm","60.198mm","62.67mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R33","1206_R","45.72mm","60.198mm","45.72mm","60.198mm","47.21mm","60.198mm","T","180.00","4.7K次 (4701) ㊣1%"
"R32","0603_R","163.83mm","68.588mm","163.83mm","68.588mm","163.83mm","69.358mm","T","270.00","1.5K次 (1501) ㊣1%"
"R31","0603_R","148.59mm","68.58mm","148.59mm","68.58mm","148.59mm","69.35mm","T","270.00","1.5K次 (1501) ㊣1%"
"R30","0603_R","133.604mm","68.588mm","133.604mm","68.588mm","133.604mm","69.358mm","T","270.00","1.5K次 (1501) ㊣1%"
"R29","0603_R","118.618mm","68.58mm","118.618mm","68.58mm","118.618mm","69.35mm","T","270.00","1.5K次 (1501) ㊣1%"
"R28","0603_R","103.124mm","68.58mm","103.124mm","68.58mm","103.124mm","69.35mm","T","270.00","1.5K次 (1501) ㊣1%"
"R27","0603_R","87.63mm","68.588mm","87.63mm","68.588mm","87.63mm","69.358mm","T","270.00","1.5K次 (1501) ㊣1%"
"R26","0603_R","72.39mm","68.58mm","72.39mm","68.58mm","72.39mm","69.35mm","T","270.00","1.5K次 (1501) ㊣1%"
"R25","0603_R","56.896mm","68.58mm","56.896mm","68.58mm","56.896mm","69.35mm","T","270.00","1.5K次 (1501) ㊣1%"
"R24","0603_R","156.21mm","68.58mm","156.21mm","68.58mm","156.21mm","69.35mm","T","270.00","1.5K次 (1501) ㊣1%"
"R23","0603_R","140.97mm","68.588mm","140.97mm","68.588mm","140.97mm","69.358mm","T","270.00","1.5K次 (1501) ㊣1%"
"R22","0603_R","125.984mm","68.588mm","125.984mm","68.588mm","125.984mm","69.358mm","T","270.00","1.5K次 (1501) ㊣1%"
"R21","0603_R","110.998mm","68.572mm","110.998mm","68.572mm","110.998mm","69.342mm","T","270.00","1.5K次 (1501) ㊣1%"
"R20","0603_R","95.25mm","68.588mm","95.25mm","68.588mm","95.25mm","69.358mm","T","270.00","1.5K次 (1501) ㊣1%"
"R19","0603_R","80.01mm","68.588mm","80.01mm","68.588mm","80.01mm","69.358mm","T","270.00","1.5K次 (1501) ㊣1%"
"R18","0603_R","64.77mm","68.588mm","64.77mm","68.588mm","64.77mm","69.358mm","T","270.00","1.5K次 (1501) ㊣1%"
"R17","0603_R","49.276mm","68.572mm","49.276mm","68.572mm","49.276mm","69.342mm","T","270.00","1.5K次 (1501) ㊣1%"
"R16","0603_R","75.692mm","78.7654mm","75.692mm","78.7654mm","74.922mm","78.7654mm","T","0.00","4.7K次 (4701) ㊣1%"
"R15","0603_R","75.7mm","76.7588mm","75.7mm","76.7588mm","74.93mm","76.7588mm","T","0.00","4.7K次 (4701) ㊣1%"
"R14","0603_R","85.479mm","81.1784mm","85.479mm","81.1784mm","84.709mm","81.1784mm","T","360.00","1.5K次 (1501) ㊣1%"
"R13","0603_R","114.5112mm","75.0062mm","114.5112mm","75.0062mm","113.7412mm","75.0062mm","T","360.00","10K次 (1002) ㊣1%"
"R12","0603_R","162.806mm","73.406mm","162.806mm","73.406mm","163.576mm","73.406mm","T","180.00","47K次 (4702) ㊣1%"
"R11","0603_R","153.0524mm","89.9414mm","153.0524mm","89.9414mm","153.8224mm","89.9414mm","T","180.00","10K次 (1002) ㊣1%"
"R10","0603_R","141.0128mm","80.0354mm","141.0128mm","80.0354mm","140.2428mm","80.0354mm","T","0.00","330次 (3300) ㊣1%"
"R9","0603_R","145.0768mm","91.8718mm","145.0768mm","91.8718mm","144.3068mm","91.8718mm","T","0.00","1.5K次 (1501) ㊣1%"
"R8","0603_R","145.026mm","89.7636mm","145.026mm","89.7636mm","144.256mm","89.7636mm","T","0.00","1.5K次 (1501) ㊣1%"
"R5","0603_R","46.736mm","101.608mm","46.736mm","101.608mm","46.736mm","102.378mm","T","270.00","160K次 (1603) ㊣1%"
"R4","0603_R","43.18mm","94.996mm","43.18mm","94.996mm","43.18mm","95.766mm","T","270.00","10K次 (1002) ㊣1%"
"R3","0603_R","45.212mm","94.996mm","45.212mm","94.996mm","45.212mm","94.226mm","T","90.00","47K次 (4702) ㊣1%"
"R2","0603_R","44.704mm","101.608mm","44.704mm","101.608mm","44.704mm","100.838mm","T","90.00","30K次 (3002) ㊣1%"
"R1","0603_R","55.253mm","85.0646mm","55.253mm","85.0646mm","54.483mm","85.0646mm","T","360.00","1.5K次 (1501) ㊣1%"
"L2","0805_L","153.2874mm","94.0562mm","153.2874mm","94.0562mm","152.3974mm","94.0562mm","T","0.00","600次 ㊣25% 100MHz"
"D5","SOD-123","141.5288mm","77.9272mm","141.5288mm","77.9272mm","139.8524mm","77.9272mm","T","360.00","1N5819"
"C20","0805_C","141.478mm","91.058mm","141.478mm","91.058mm","141.478mm","90.168mm","T","90.00","10uF (106) 10% 25V"
"C19","0805_C","75.311mm","93.092mm","75.311mm","93.092mm","75.311mm","93.982mm","T","270.00","10uF (106) 10% 25V"
"C18","0603_C","114.808mm","90.67mm","114.808mm","90.67mm","114.808mm","89.9mm","T","90.00","100nF (104) 10% 50V"
"C17","0603_C","97.02mm","92.583mm","97.02mm","92.583mm","96.25mm","92.583mm","T","360.00","100nF (104) 10% 50V"
"C16","0603_C","82.55mm","90.551mm","82.55mm","90.551mm","81.78mm","90.551mm","T","360.00","100nF (104) 10% 50V"
"C15","0603_C","75.6746mm","74.803mm","75.6746mm","74.803mm","76.4446mm","74.803mm","T","180.00","100nF (104) 10% 50V"
"C14","0603_C","93.9546mm","74.549mm","93.9546mm","74.549mm","93.9546mm","73.779mm","T","90.00","100nF (104) 10% 50V"
"C13","0603_C","91.8972mm","74.4982mm","91.8972mm","74.4982mm","91.8972mm","73.7282mm","T","90.00","10uF (106) 10% 10V"
"C12","0603_C","117.6274mm","77.9446mm","117.6274mm","77.9446mm","117.6274mm","77.1746mm","T","90.00","22pF (220) 5% 50V"
"C11","0603_C","117.6274mm","82.0166mm","117.6274mm","82.0166mm","117.6274mm","82.7866mm","T","270.00","22pF (220) 5% 50V"
"C10","0603_C","125.9252mm","79.0956mm","125.9252mm","79.0956mm","125.1552mm","79.0956mm","T","360.00","10uF (106) 10% 10V"
"C9","0603_C","162.814mm","75.438mm","162.814mm","75.438mm","163.584mm","75.438mm","T","180.00","100nF (104) 10% 50V"
"C8","0603_C","153.0524mm","88.0364mm","153.0524mm","88.0364mm","152.2824mm","88.0364mm","T","360.00","100nF (104) 10% 50V"
"C7","0603_C","153.0524mm","86.106mm","153.0524mm","86.106mm","152.2824mm","86.106mm","T","0.00","100nF (104) 10% 50V"
"C6","0603_C","153.0524mm","91.8972mm","153.0524mm","91.8972mm","153.8224mm","91.8972mm","T","180.00","100nF (104) 10% 50V"
"C5","0603_C","149.1916mm","87.757mm","149.1916mm","87.757mm","148.4216mm","87.757mm","T","360.00","10uF (106) 10% 10V"
"C4","0603_C","48.768mm","101.608mm","48.768mm","101.608mm","48.768mm","100.838mm","T","90.00","33pF (330) 5% 50V"
"C3","1206_C","48.6156mm","89.247mm","48.6156mm","89.247mm","48.6156mm","87.757mm","T","90.00","10uF (106) 10% 50V"
"C2","0805_C","55.2694mm","87.63mm","55.2694mm","87.63mm","54.3794mm","87.63mm","T","0.00","10uF (106) 10% 25V"
"C1","0603_C","51.816mm","94.996mm","51.816mm","94.996mm","51.816mm","94.226mm","T","90.00","100nF (104) 10% 50V"
"Y1","SMD-5032_2P","114.5794mm","79.9846mm","114.5794mm","79.9846mm","114.5794mm","77.9346mm","T","90.00","11.0592MHZ 20PF 20PPM"
"USB1","USB-b","160.713mm","85.42mm","158.358mm","86.67mm","158.358mm","86.67mm","T","270.00","USB-B"
"U24","SOIC-18_300mil","133.858mm","87.398mm","133.858mm","87.398mm","128.778mm","82.848mm","T","0.00","ULN2803ADW"
"U23","SOIC-18_300mil","67.564mm","87.63mm","67.564mm","87.63mm","62.484mm","83.08mm","T","0.00","ULN2803ADW"
"U22","SOIC-14_150mil","120.904mm","88.392mm","120.904mm","88.392mm","117.094mm","85.792mm","T","0.00","74HC04"
"U21","SOIC-14_150mil","103.632mm","89.976mm","103.632mm","89.976mm","99.822mm","87.376mm","T","0.00","74HC04"
"U20","SOIC-14_150mil","88.773mm","87.884mm","88.773mm","87.884mm","84.963mm","85.284mm","T","360.00","74HC04"
"U19","SOP-4_P2.54","160.02mm","66.294mm","160.02mm","66.294mm","158.75mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U18","SOP-4_P2.54","144.78mm","66.294mm","144.78mm","66.294mm","143.51mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U17","SOP-4_P2.54","129.794mm","66.294mm","129.794mm","66.294mm","128.524mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U16","SOP-4_P2.54","114.808mm","66.294mm","114.808mm","66.294mm","113.538mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U15","SOP-4_P2.54","99.314mm","66.294mm","99.314mm","66.294mm","98.044mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U14","SOP-4_P2.54","83.82mm","66.294mm","83.82mm","66.294mm","82.55mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U13","SOP-4_P2.54","68.58mm","66.294mm","68.58mm","66.294mm","67.31mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U12","SOP-4_P2.54","53.086mm","66.04mm","53.086mm","66.04mm","51.816mm","63.04mm","T","90.00","EL357N(B)(TA)-G"
"U11","SOP-4_P2.54","152.4mm","66.294mm","152.4mm","66.294mm","151.13mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U10","SOP-4_P2.54","137.414mm","66.294mm","137.414mm","66.294mm","136.144mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U9","SOP-4_P2.54","122.428mm","66.294mm","122.428mm","66.294mm","121.158mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U8","SOP-4_P2.54","107.188mm","66.294mm","107.188mm","66.294mm","105.918mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U7","SOP-4_P2.54","91.44mm","66.294mm","91.44mm","66.294mm","90.17mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U6","SOP-4_P2.54","76.2mm","66.294mm","76.2mm","66.294mm","74.93mm","63.294mm","T","90.00","EL357N(B)(TA)-G"
"U5","SOP-4_P2.54","60.96mm","66.04mm","60.96mm","66.04mm","59.69mm","63.04mm","T","90.00","EL357N(B)(TA)-G"
"U4","SOP-4_P2.54","45.466mm","66.04mm","45.466mm","66.04mm","44.196mm","63.04mm","T","90.00","EL357N(B)(TA)-G"
"U1","SOT-23-6","48.514mm","95.25mm","48.514mm","95.25mm","49.464mm","96.65mm","T","90.00","MP2451DT-LF-Z"
"S1","泂え偌瑩_3*6*2.5","124.4219mm","75.8952mm","128.3462mm","75.8952mm","128.3462mm","75.8952mm","T","180.00","SW-PB"
"R7","0603_R","68.072mm","97.536mm","68.072mm","97.536mm","68.072mm","96.766mm","T","90.00","10K次 (1002) ㊣1%"
"R50","0603_R","80.5724mm","97.536mm","80.5724mm","97.536mm","80.5724mm","96.766mm","T","90.00","10K次 (1002) ㊣1%"
"R52","0603_R","93.0729mm","97.536mm","93.0729mm","97.536mm","93.0729mm","96.766mm","T","90.00","10K次 (1002) ㊣1%"
"R56","0603_R","118.0737mm","97.536mm","118.0737mm","97.536mm","118.0737mm","96.766mm","T","90.00","10K次 (1002) ㊣1%"
"R58","0603_R","130.5741mm","97.536mm","130.5741mm","97.536mm","130.5741mm","96.766mm","T","90.00","10K次 (1002) ㊣1%"
"R60","0603_R","143.0746mm","97.536mm","143.0746mm","97.536mm","143.0746mm","96.766mm","T","90.00","10K次 (1002) ㊣1%"
"R62","0603_R","155.575mm","97.536mm","155.575mm","97.536mm","155.575mm","96.766mm","T","90.00","10K次 (1002) ㊣1%"
"R6","0603_R","68.072mm","107.696mm","68.072mm","107.696mm","68.072mm","106.926mm","T","90.00","10K次 (1002) ㊣1%"
"R49","0603_R","80.645mm","107.696mm","80.645mm","107.696mm","80.645mm","106.926mm","T","90.00","10K次 (1002) ㊣1%"
"R51","0603_R","93.091mm","107.696mm","93.091mm","107.696mm","93.091mm","106.926mm","T","90.00","10K次 (1002) ㊣1%"
"R55","0603_R","118.11mm","107.696mm","118.11mm","107.696mm","118.11mm","106.926mm","T","90.00","10K次 (1002) ㊣1%"
"R57","0603_R","130.556mm","107.688mm","130.556mm","107.688mm","130.556mm","106.918mm","T","90.00","10K次 (1002) ㊣1%"
"R59","0603_R","143.129mm","107.688mm","143.129mm","107.688mm","143.129mm","106.918mm","T","90.00","10K次 (1002) ㊣1%"
"R61","0603_R","155.575mm","107.688mm","155.575mm","107.688mm","155.575mm","106.918mm","T","90.00","10K次 (1002) ㊣1%"
"P33","WJ15EDGVC-3.81-2P","149.606mm","100.584mm","151.511mm","100.584mm","151.511mm","100.584mm","T","180.00","Header 2"
"P32","WJ15EDGVC-3.81-2P","137.0874mm","100.584mm","138.9924mm","100.584mm","138.9924mm","100.584mm","T","180.00","Header 2"
"P31","WJ15EDGVC-3.81-2P","124.5688mm","100.584mm","126.4738mm","100.584mm","126.4738mm","100.584mm","T","180.00","Header 2"
"P30","WJ15EDGVC-3.81-2P","112.0503mm","100.584mm","113.9553mm","100.584mm","113.9553mm","100.584mm","T","180.00","Header 2"
"P29","WJ15EDGVC-3.81-2P","99.5317mm","100.584mm","101.4367mm","100.584mm","101.4367mm","100.584mm","T","180.00","Header 2"
"P28","WJ15EDGVC-3.81-2P","87.0131mm","100.584mm","88.9181mm","100.584mm","88.9181mm","100.584mm","T","180.00","Header 2"
"P27","WJ15EDGVC-3.81-2P","74.4946mm","100.584mm","76.3996mm","100.584mm","76.3996mm","100.584mm","T","180.00","Header 2"
"P25","WJ15EDGVC-3.81-2P","149.606mm","112.7252mm","151.511mm","112.7252mm","151.511mm","112.7252mm","T","180.00","Header 2"
"P24","WJ15EDGVC-3.81-2P","137.0874mm","112.7252mm","138.9924mm","112.7252mm","138.9924mm","112.7252mm","T","180.00","Header 2"
"P23","WJ15EDGVC-3.81-2P","124.5688mm","112.7252mm","126.4738mm","112.7252mm","126.4738mm","112.7252mm","T","180.00","Header 2"
"P22","WJ15EDGVC-3.81-2P","112.0503mm","112.7252mm","113.9553mm","112.7252mm","113.9553mm","112.7252mm","T","180.00","Header 2"
"P21","WJ15EDGVC-3.81-2P","99.5317mm","112.7252mm","101.4367mm","112.7252mm","101.4367mm","112.7252mm","T","180.00","Header 2"
"P20","WJ15EDGVC-3.81-2P","87.0131mm","112.7252mm","88.9181mm","112.7252mm","88.9181mm","112.7252mm","T","180.00","Header 2"
"P19","WJ15EDGVC-3.81-2P","74.4946mm","112.7252mm","76.3996mm","112.7252mm","76.3996mm","112.7252mm","T","180.00","Header 2"
"P18","WJ15EDGVC-3.81-2P","61.976mm","112.7252mm","63.881mm","112.7252mm","63.881mm","112.7252mm","T","180.00","Header 2"
"P17","WJ15EDGVC-3.81-3P","150.622mm","40.5892mm","146.812mm","40.5892mm","146.812mm","40.5892mm","T","360.00","Header 3"
"P16","WJ15EDGVC-3.81-3P","137.2144mm","40.5892mm","133.4044mm","40.5892mm","133.4044mm","40.5892mm","T","360.00","Header 3"
"P15","WJ15EDGVC-3.81-3P","123.8068mm","40.5892mm","119.9968mm","40.5892mm","119.9968mm","40.5892mm","T","360.00","Header 3"
"P14","WJ15EDGVC-3.81-3P","110.3993mm","40.5892mm","106.5893mm","40.5892mm","106.5893mm","40.5892mm","T","360.00","Header 3"
"P13","WJ15EDGVC-3.81-3P","96.9917mm","40.5892mm","93.1817mm","40.5892mm","93.1817mm","40.5892mm","T","360.00","Header 3"
"P12","WJ15EDGVC-3.81-3P","83.5841mm","40.5892mm","79.7741mm","40.5892mm","79.7741mm","40.5892mm","T","360.00","Header 3"
"P11","WJ15EDGVC-3.81-3P","70.1766mm","40.5892mm","66.3666mm","40.5892mm","66.3666mm","40.5892mm","T","360.00","Header 3"
"P10","WJ15EDGVC-3.81-3P","56.769mm","40.5892mm","52.959mm","40.5892mm","52.959mm","40.5892mm","T","360.00","Header 3"
"P8","WJ15EDGVC-3.81-3P","137.2144mm","53.213mm","133.4044mm","53.213mm","133.4044mm","53.213mm","T","360.00","Header 3"
"P7","WJ15EDGVC-3.81-3P","123.8068mm","53.213mm","119.9968mm","53.213mm","119.9968mm","53.213mm","T","360.00","Header 3"
"P6","WJ15EDGVC-3.81-3P","110.3993mm","53.213mm","106.5893mm","53.213mm","106.5893mm","53.213mm","T","360.00","Header 3"
"P5","WJ15EDGVC-3.81-3P","96.9917mm","53.213mm","93.1817mm","53.213mm","93.1817mm","53.213mm","T","360.00","Header 3"
"P4","WJ15EDGVC-3.81-3P","83.5841mm","53.213mm","79.7741mm","53.213mm","79.7741mm","53.213mm","T","360.00","Header 3"
"P3","WJ15EDGVC-3.81-3P","70.1766mm","53.213mm","66.3666mm","53.213mm","66.3666mm","53.213mm","T","360.00","Header 3"
"P2","WJ15EDGVC-3.81-3P","56.769mm","53.213mm","52.959mm","53.213mm","52.959mm","53.213mm","T","360.00","Header 3"
"P1","WJ15EDGVC-3.81-2P","44.45mm","79.375mm","44.45mm","81.28mm","44.45mm","81.28mm","T","270.00","Header 2"
"L1","L5020","56.261mm","91.6686mm","56.261mm","91.6686mm","54.411mm","91.6686mm","T","360.00","3.3uH  ㊣20%"
"IC1","SSOP-28_208mil","150.5204mm","79.8322mm","150.5204mm","79.8322mm","146.2954mm","76.3822mm","T","360.00","FT232RL"
"D25","0603_LED_S1","68.072mm","101.735mm","68.072mm","101.735mm","68.072mm","102.505mm","T","90.00","綻腑 0603"
"D27","0603_LED_S1","80.645mm","101.735mm","80.645mm","101.735mm","80.645mm","102.505mm","T","90.00","綻腑 0603"
"D29","0603_LED_S1","93.091mm","101.735mm","93.091mm","101.735mm","93.091mm","102.505mm","T","90.00","綻腑 0603"
"D31","0603_LED_S1","105.537mm","101.735mm","105.537mm","101.735mm","105.537mm","102.505mm","T","90.00","綻腑 0603"
"D33","0603_LED_S1","118.11mm","101.735mm","118.11mm","101.735mm","118.11mm","102.505mm","T","90.00","綻腑 0603"
"D35","0603_LED_S1","130.556mm","101.735mm","130.556mm","101.735mm","130.556mm","102.505mm","T","90.00","綻腑 0603"
"D37","0603_LED_S1","143.129mm","101.735mm","143.129mm","101.735mm","143.129mm","102.505mm","T","90.00","綻腑 0603"
"D39","0603_LED_S1","155.575mm","101.735mm","155.575mm","101.735mm","155.575mm","102.505mm","T","90.00","綻腑 0603"
"D24","0603_LED_S1","68.072mm","111.895mm","68.072mm","111.895mm","68.072mm","112.665mm","T","90.00","綻腑 0603"
"D26","0603_LED_S1","80.5724mm","111.895mm","80.5724mm","111.895mm","80.5724mm","112.665mm","T","90.00","綻腑 0603"
"D28","0603_LED_S1","93.0729mm","111.895mm","93.0729mm","111.895mm","93.0729mm","112.665mm","T","90.00","綻腑 0603"
"D30","0603_LED_S1","105.5733mm","111.895mm","105.5733mm","111.895mm","105.5733mm","112.665mm","T","90.00","綻腑 0603"
"D32","0603_LED_S1","118.0737mm","111.895mm","118.0737mm","111.895mm","118.0737mm","112.665mm","T","90.00","綻腑 0603"
"D34","0603_LED_S1","130.5741mm","111.895mm","130.5741mm","111.895mm","130.5741mm","112.665mm","T","90.00","綻腑 0603"
"D36","0603_LED_S1","143.0746mm","111.895mm","143.0746mm","111.895mm","143.0746mm","112.665mm","T","90.00","綻腑 0603"
"D38","0603_LED_S1","155.575mm","111.895mm","155.575mm","111.895mm","155.575mm","112.665mm","T","90.00","綻腑 0603"
"D23","0603_LED_S1","163.83mm","64.254mm","163.83mm","64.254mm","163.83mm","65.024mm","T","90.00","綻腑 0603"
"D22","0603_LED_S1","148.59mm","64mm","148.59mm","64mm","148.59mm","64.77mm","T","90.00","綻腑 0603"
"D21","0603_LED_S1","133.604mm","64mm","133.604mm","64mm","133.604mm","64.77mm","T","90.00","綻腑 0603"
"D20","0603_LED_S1","118.618mm","64mm","118.618mm","64mm","118.618mm","64.77mm","T","90.00","綻腑 0603"
"D19","0603_LED_S1","103.124mm","64mm","103.124mm","64mm","103.124mm","64.77mm","T","90.00","綻腑 0603"
"D18","0603_LED_S1","87.63mm","64mm","87.63mm","64mm","87.63mm","64.77mm","T","90.00","綻腑 0603"
"D17","0603_LED_S1","72.39mm","64mm","72.39mm","64mm","72.39mm","64.77mm","T","90.00","綻腑 0603"
"D16","0603_LED_S1","56.896mm","64.008mm","56.896mm","64.008mm","56.896mm","64.778mm","T","90.00","綻腑 0603"
"D15","0603_LED_S1","156.21mm","64mm","156.21mm","64mm","156.21mm","64.77mm","T","90.00","綻腑 0603"
"D14","0603_LED_S1","140.97mm","64mm","140.97mm","64mm","140.97mm","64.77mm","T","90.00","綻腑 0603"
"D13","0603_LED_S1","125.984mm","64.008mm","125.984mm","64.008mm","125.984mm","64.778mm","T","90.00","綻腑 0603"
"D12","0603_LED_S1","110.998mm","64mm","110.998mm","64mm","110.998mm","64.77mm","T","90.00","綻腑 0603"
"D11","0603_LED_S1","95.25mm","64mm","95.25mm","64mm","95.25mm","64.77mm","T","90.00","綻腑 0603"
"D10","0603_LED_S1","80.01mm","64.008mm","80.01mm","64.008mm","80.01mm","64.778mm","T","90.00","綻腑 0603"
"D9","0603_LED_S1","64.77mm","64mm","64.77mm","64mm","64.77mm","64.77mm","T","90.00","綻腑 0603"
"D8","0603_LED_S1","49.276mm","64mm","49.276mm","64mm","49.276mm","64.77mm","T","90.00","綻腑 0603"
"D7","0603_LED_S1","81.8388mm","81.153mm","81.8388mm","81.153mm","82.6088mm","81.153mm","T","360.00","懦腑 0603"
"D6","0603_LED_S1","149.1822mm","91.7194mm","149.1822mm","91.7194mm","149.9522mm","91.7194mm","T","360.00","綻腑 0603"
"D4","0603_LED_S1","149.1916mm","89.7509mm","149.1916mm","89.7509mm","149.9616mm","89.7509mm","T","360.00","懦腑 0603"
"D3","0603_LED_S1","55.253mm","82.8548mm","55.253mm","82.8548mm","54.483mm","82.8548mm","T","180.00","綻腑 0603"
"D2","SMA(DO-214AC)_S1","44.196mm","88.714mm","44.196mm","88.714mm","44.196mm","86.614mm","T","270.00","SS34"
"D1","SOD-123","51.435mm","89.4334mm","51.435mm","89.4334mm","51.435mm","87.757mm","T","90.00","1N5819"
"U2","LQFP-44_10x10x08P","102.87mm","78.74mm","102.87mm","78.74mm","108.52mm","74.74mm","T","90.00","STC12C5A60S2-35I"
"U3","SOIC-8_150mil","70.6628mm","76.7842mm","70.6628mm","76.7842mm","68.7578mm","74.1842mm","T","0.00","EEPROM/AT24C128"

